Date,Kwh,year,month,day,city
2008-03-08,25453145.8747274,2008,03,08,AGIA TRIADA
2008-03-08,89018824.6409336,2008,03,08,SIDIROKASTRO
2008-03-08,13516713.2092134,2008,03,08,KIPI
2008-03-08,0.0,2008,03,08,NEA MESIMVRIA
2008-03-09,42297036.4880603,2008,03,09,AGIA TRIADA
2008-03-09,83393111.3413458,2008,03,09,SIDIROKASTRO
2008-03-09,4928273.58250673,2008,03,09,KIPI
2008-03-09,0.0,2008,03,09,NEA MESIMVRIA
2008-03-10,49237449.2436041,2008,03,10,AGIA TRIADA
2008-03-10,81323969.9019217,2008,03,10,SIDIROKASTRO
2008-03-10,4230559.82232905,2008,03,10,KIPI
2008-03-10,0.0,2008,03,10,NEA MESIMVRIA
2008-03-11,54388324.9357877,2008,03,11,AGIA TRIADA
2008-03-11,81288349.9294058,2008,03,11,SIDIROKASTRO
2008-03-11,16764800.6853221,2008,03,11,KIPI
2008-03-11,0.0,2008,03,11,NEA MESIMVRIA
2008-03-12,54871688.3819989,2008,03,12,AGIA TRIADA
2008-03-12,89082200.7562006,2008,03,12,SIDIROKASTRO
2008-03-12,15845164.5511247,2008,03,12,KIPI
2008-03-12,0.0,2008,03,12,NEA MESIMVRIA
2008-03-13,54456523.6422949,2008,03,13,AGIA TRIADA
2008-03-13,88890050.8352174,2008,03,13,SIDIROKASTRO
2008-03-13,16772494.7175535,2008,03,13,KIPI
2008-03-13,0.0,2008,03,13,NEA MESIMVRIA
2008-03-14,45012791.6372164,2008,03,14,AGIA TRIADA
2008-03-14,101870877.265609,2008,03,14,SIDIROKASTRO
2008-03-14,9615868.46306155,2008,03,14,KIPI
2008-03-14,0.0,2008,03,14,NEA MESIMVRIA
2008-03-15,29196424.3461723,2008,03,15,AGIA TRIADA
2008-03-15,105896294.570727,2008,03,15,SIDIROKASTRO
2008-03-15,9496679.76851708,2008,03,15,KIPI
2008-03-15,0.0,2008,03,15,NEA MESIMVRIA
2008-03-16,21003136.932151,2008,03,16,AGIA TRIADA
2008-03-16,104052138.877585,2008,03,16,SIDIROKASTRO
2008-03-16,9130636.33926364,2008,03,16,KIPI
2008-03-16,0.0,2008,03,16,NEA MESIMVRIA
2008-03-17,34511078.5635639,2008,03,17,AGIA TRIADA
2008-03-17,105701920.191945,2008,03,17,SIDIROKASTRO
2008-03-17,10066930.0763659,2008,03,17,KIPI
2008-03-17,0.0,2008,03,17,NEA MESIMVRIA
2008-03-18,35343427.9945569,2008,03,18,AGIA TRIADA
2008-03-18,105669047.874637,2008,03,18,SIDIROKASTRO
2008-03-18,9639122.06157004,2008,03,18,KIPI
2008-03-18,0.0,2008,03,18,NEA MESIMVRIA
2008-03-19,35586398.965172,2008,03,19,AGIA TRIADA
2008-03-19,105631752.002433,2008,03,19,SIDIROKASTRO
2008-03-19,9734638.85497732,2008,03,19,KIPI
2008-03-19,0.0,2008,03,19,NEA MESIMVRIA
2008-03-20,30192814.9944909,2008,03,20,AGIA TRIADA
2008-03-20,105649748.551544,2008,03,20,SIDIROKASTRO
2008-03-20,9534155.07562701,2008,03,20,KIPI
2008-03-20,0.0,2008,03,20,NEA MESIMVRIA
2008-03-21,44908141.1859997,2008,03,21,AGIA TRIADA
